CountryID,Games,HomeWins,HomeDraw,HomeLoss,AwayWins,AwayDraw,AwayLoss,HomeWinRatio,HomeLossRatio,HomeDrawRatio,AwayWinRatio,AwayLossRatio,AwayDrawRatio,TotalPoint,SuccessRate
1,38,11,4,4,8,7,4,0.578947368,0.210526316,0.210526316,0.421052632,0.210526316,0.368421053,68,1
1,38,11,5,3,8,3,8,0.578947368,0.157894737,0.263157895,0.421052632,0.421052632,0.157894737,65,1
1,38,12,4,3,9,3,7,0.631578947,0.157894737,0.210526316,0.473684211,0.368421053,0.157894737,70,1
1,38,4,7,8,3,10,6,0.210526316,0.421052632,0.368421053,0.157894737,0.315789474,0.526315789,38,0
1,38,16,0,3,12,5,2,0.842105263,0.157894737,0,0.631578947,0.105263158,0.263157895,89,1
1,38,4,9,6,3,6,10,0.210526316,0.315789474,0.473684211,0.157894737,0.526315789,0.315789474,36,1
1,38,9,9,1,7,5,7,0.473684211,0.052631579,0.473684211,0.368421053,0.368421053,0.263157895,62,1
1,38,9,6,4,7,7,5,0.473684211,0.210526316,0.315789474,0.368421053,0.263157895,0.368421053,61,1
1,38,5,6,8,4,5,10,0.263157895,0.421052632,0.315789474,0.210526316,0.526315789,0.263157895,38,1
1,38,5,8,6,4,7,8,0.263157895,0.315789474,0.421052632,0.210526316,0.421052632,0.368421053,42,1
1,38,5,8,6,4,4,11,0.263157895,0.315789474,0.421052632,0.210526316,0.578947368,0.210526316,39,1
1,38,5,3,11,4,2,13,0.263157895,0.578947368,0.157894737,0.210526316,0.684210526,0.105263158,32,1
1,29,7,5,2,6,5,4,0.5,0.142857143,0.357142857,0.4,0.266666667,0.333333333,49,1
1,29,8,3,3,7,4,4,0.571428571,0.214285714,0.214285714,0.466666667,0.266666667,0.266666667,52,1
1,38,6,8,5,5,5,9,0.315789474,0.263157895,0.421052632,0.263157895,0.473684211,0.263157895,46,1
1,38,12,5,2,10,4,5,0.631578947,0.105263158,0.263157895,0.526315789,0.263157895,0.210526316,75,1
1,38,6,8,5,5,5,9,0.315789474,0.263157895,0.421052632,0.263157895,0.473684211,0.263157895,46,1
1,38,6,5,8,5,4,10,0.315789474,0.421052632,0.263157895,0.263157895,0.526315789,0.210526316,42,1
1,38,13,5,1,11,2,6,0.684210526,0.052631579,0.263157895,0.578947368,0.315789474,0.105263158,79,1
1,38,15,2,2,13,3,3,0.789473684,0.105263158,0.105263158,0.684210526,0.157894737,0.157894737,89,1
1,38,8,6,5,7,5,7,0.421052632,0.263157895,0.315789474,0.368421053,0.368421053,0.263157895,56,1
1,38,8,3,8,7,1,11,0.421052632,0.421052632,0.157894737,0.368421053,0.578947368,0.052631579,49,1
1,38,11,5,3,10,5,4,0.578947368,0.157894737,0.263157895,0.526315789,0.210526316,0.263157895,73,1
1,38,11,5,3,10,4,5,0.578947368,0.157894737,0.263157895,0.526315789,0.263157895,0.210526316,72,1
1,38,11,3,5,10,3,6,0.578947368,0.263157895,0.157894737,0.526315789,0.315789474,0.157894737,69,1
1,38,5,5,9,5,4,10,0.263157895,0.473684211,0.263157895,0.263157895,0.526315789,0.210526316,39,0
1,38,5,5,9,5,6,8,0.263157895,0.473684211,0.263157895,0.263157895,0.421052632,0.315789474,41,0
1,38,2,8,9,2,5,12,0.105263158,0.473684211,0.421052632,0.105263158,0.631578947,0.263157895,25,0
1,38,5,3,11,5,5,9,0.263157895,0.578947368,0.157894737,0.263157895,0.473684211,0.263157895,38,0
1,30,8,5,2,8,5,2,0.533333333,0.133333333,0.333333333,0.533333333,0.133333333,0.333333333,58,0
1,30,5,4,6,5,4,6,0.333333333,0.4,0.266666667,0.333333333,0.4,0.266666667,38,0
1,29,8,5,1,9,4,2,0.571428571,0.071428571,0.357142857,0.6,0.133333333,0.266666667,60,0
1,29,5,6,4,5,4,5,0.333333333,0.266666667,0.4,0.357142857,0.357142857,0.285714286,40,0
1,29,5,4,6,5,3,6,0.333333333,0.4,0.266666667,0.357142857,0.428571429,0.214285714,37,0
1,38,9,3,7,10,4,5,0.473684211,0.368421053,0.157894737,0.526315789,0.263157895,0.210526316,64,0
1,38,8,8,3,9,5,5,0.421052632,0.157894737,0.421052632,0.473684211,0.263157895,0.263157895,64,0
1,38,6,3,10,7,5,7,0.315789474,0.526315789,0.157894737,0.368421053,0.368421053,0.263157895,47,0
1,38,5,7,7,6,3,10,0.263157895,0.368421053,0.368421053,0.315789474,0.526315789,0.157894737,43,0
1,28,5,5,3,7,3,5,0.384615385,0.230769231,0.384615385,0.466666667,0.333333333,0.2,44,0
1,38,4,6,9,5,3,11,0.210526316,0.473684211,0.315789474,0.263157895,0.578947368,0.157894737,36,0
1,38,6,9,4,8,1,10,0.315789474,0.210526316,0.473684211,0.421052632,0.526315789,0.052631579,52,0
1,29,4,2,9,5,4,5,0.266666667,0.6,0.133333333,0.357142857,0.357142857,0.285714286,33,0
1,28,4,4,7,5,7,1,0.266666667,0.466666667,0.266666667,0.384615385,0.076923077,0.538461538,38,0
1,38,4,4,11,6,2,11,0.210526316,0.578947368,0.210526316,0.315789474,0.578947368,0.105263158,36,0
2,38,11,3,5,1,4,14,0.578947368,0.263157895,0.157894737,0.052631579,0.736842105,0.210526316,43,1
2,38,8,6,5,1,6,12,0.421052632,0.263157895,0.315789474,0.052631579,0.631578947,0.315789474,39,1
